ID;Atleta;Sesso;Titoli;Data di nascita;Peso;Link;Foto;ID genealogico
153;Nicola Melillo di Gius.;M;-;?;?;-;-;I2154
154;Donato Malanga;M;-;?;?;-;2007/XIX11.jpg;I1591
155;Marco D'Elia;M;-;?;?;-;-;-
156;Federica Ceres;F;-;?;?;-;2006/f34.jpg;I803
157;Gerardo Merola;M;-;?;?;-;-;-
158;Gaetano Vitale;M;-;?;?;-;-;I5739
159;Lorenzo Iannuzzi;M;-;?;?;-;-;-
160;Margherita Spatola;F;-;?;?;-;-;I1311
161;Monica Galdi;F;-;?;?;-;-;I6797
162;Gabriella Aiello;F;-;?;?;-;-;I272
163;Michele Cuozzo;M;-;?;?;-;-;I6369
164;Thomas Cibellis;M;-;?;?;-;2007/XIX7.jpg;I3471
165;Gerardo Martino;M;-;?;?;-;2007/XIX9.jpg;-
166;Salvatore Malanga;M;-;?;?;-;-;I1277
167;Gianfranco Rosania;M;-;?;?;-;2017/GianfrancoRosania.jpg;-
168;Juli Pucillo;M;-;?;?;-;-;I7686
169;Gerardo Sozio;M;-;?;?;-;2006/d6.jpg;I9998
170;Alessandro Ruglio;M;-;?;?;-;-;I3704
171;Gianni Malanga;M;-;?;?;-;-;-
172;Annalisa Casale;F;-;?;?;-;-;I910
173;Angela Aiello;F;-;?;?;-;2005/dscn5345.jpg;I268
174;Gerarda Russomanno;F;-;?;?;-;-;I902
175;Franco Cibellis;M;-;?;?;-;2007/XIX22.jpg;I3469
176;Rocco Merola;M;-;?;?;-;-;I3819
177;Rosalba Palumbo;F;-;?;?;-;2019/stra19_04.jpg;I11464
178;Gelsomina Aiello;F;-;?;?;-;-;I267
179;Micaela Bucci;F;-;?;?;-;-;-
180;Rocchina Cibellis;F;-;?;?;-;-;I3446
181;Salvatore Russomanno di G.;M;-;?;?;-;-;I558
182;Francesco Ceres di Gius.;M;-;?;?;-;2007/XIX2.jpg;I771
183;Salvatore Malanga di Alf.;M;-;?;?;-;-;-
184;Alessio Zarra;M;-;?;?;-;2007/XIX12.jpg;-
185;Alfonso Malanga;M;-;?;?;-;-;-
186;Gerardo Russomanno;M;-;?;?;-;2007/XIX23.jpg;-
187;Maurizio Liloia;M;-;?;?;-;-;I3187
188;Niccolo' Luongo;M;-;?;?;-;-;-
189;Giuseppe Curcio;M;-;?;?;-;-;-
190;Simone Galdi;M;-;?;?;-;2006/d9.jpg;-
191;Antonella D'Elia;F;-;?;?;-;-;-
192;Anita Ilaria;F;-;?;?;-;2007/XIX45.jpg;-
193;Ernesto Donatiello;M;-;1983;?;-;2007/XIX16.jpg;I6490
194;Gerardo Monteverde;M;-;?;?;-;2007/XIX52.jpg;-
195;Giuseppe Melillo;M;-;?;?;-;-;-
196;Luigi Russomanno;M;-;?;?;-;2017/LuigiRussomanno.jpg;-
197;Gianni Sozio;M;-;?;?;-;2017/GianniSozio.jpg;I9999
198;Gerardo Donatiello;M;-;?;?;-;2007/XIX33.jpg;I6492
199;Pasquale Restaino;M;-;?;?;-;-;-
200;Gaetano D'Elia;M;-;?;?;-;2017/GaetanoDElia.jpg;-
201;Donato Nesta;M;-;?;?;-;2007/XIX24.jpg;-
202;Luca Russomanno;M;-;?;?;-;2017/LucaRussomanno.jpg;I5626
203;Giuseppe Freda;M;-;?;?;-;-;-
204;Armando Ciccone;M;-;?;?;-;-;-
205;Delia Fabio;F;-;?;?;-;-;I6566
206;Elvira Cibellis;F;-;?;?;-;-;I802
207;Milena Ceres;F;-;?;?;-;-;I3775
208;Lucia Russomanno;F;-;?;?;-;2006/d8.jpg;I557
209;Giuseppe Malanga;M;-;?;?;-;2007/XIX19.jpg;I3971
210;Giuseppe Martino;M;-;?;?;-;-;-
211;Gerardo Amendola;M;-;?;?;-;2007/XIX47.jpg;-
212;Leo Nisivoccia;M;-;?;?;-;-;-
213;Franco Cibellis di Pasq.;M;-;?;?;-;2007/XIX34.jpg;-
214;Mariangela Sturchio;F;-;?;?;-;2007/XIX35.jpg;I42
215;Maria Malanga;F;-;?;?;-;2007/XIX35.jpg;-
216;Elisa Pallante;F;-;?;?;-;-;I4976
217;Lorenzo Panariello;M;-;1993;?;-;2017/LorenzoPanariello.jpg;I13063
218;Alfonso Rosania;M;-;?;?;-;2017/AlfonsoRosania.jpg;I8828
219;Alen Nisivoccia;M;-;?;?;-;-;-
220;Gerardo Del Malandrino;M;-;1964;?;-;2017/GerardoDelMalandrino.jpg;I6789
