id;Atleta;Sesso;Titoli;Data di nascita;Peso;Link
117;Carmine Cuozzo;M;-;?;?;-
118;Gabriella Zuber;F;-;?;?;-
119;Massimo De Stefano;M;-;?;?;-
120;Gilio Iannone;M;-;?;?;-
121;Antonio Alfano;M;-;?;?;-
122;Luigi Credentino;M;-;?;?;-
123;Loredana Vento;F;-;?;?;-
124;Pierlorenzo Pallante;M;-;?;?;-
125;Pierluigi Della Vecchia;M;-;?;?;-
126;Luciano Martinello;M;-;?;?;-
127;Andressa Della Vecchia;F;-;?;?;-
128;Pietro Carpenito;M;-;?;?;-
129;Pasquale Pizzano;M;-;?;?;-
130;Genny D'Argenio;M;-;?;?;-
131;Michele Lanza;M;-;?;?;-
132;Vincent Bonsignore;M;-;?;?;-
133;Angela Prudente;F;-;?;?;-
134;Giorgio Diana;M;-;?;?;-
135;Carmelo Carbonara;M;-;?;?;-
136;Fernando Rinaldi;M;-;?;?;-
137;Sergio Pallini;M;-;?;?;-
138;Angelo Lungo;M;-;?;?;-
139;Giuseppe Castaldo;M;-;?;?;-
140;Vincenzo Bonsignore;M;-;?;?;-
141;Giancarlo Cavaliere;M;-;?;?;-
142;Gabriella Schiavone;F;-;?;?;-
143;Francesco Angri;M;-;?;?;-
144;Alessandro Argemandy;M;-;?;?;-
145;Ilenia Di Paolo;F;-;?;?;-
146;Giuseppe Bonsignore;M;-;?;?;-
147;Clarice Cavaliere;F;-;?;?;-
148;Concetta Della Fortuna;F;-;?;?;-
149;Maria Rosaria Marino;F;-;?;?;-
150;Gianfranco Bianco;M;-;?;?;-
151;Angelo Giuliano;M;-;?;?;-
152;Vincenzo Zarrilli;M;-;?;?;-
153;Vincenzo Zabatta;M;-;?;?;-
154;Nicola D'Auria;M;-;?;?;-
155;Emilio Picariello;M;-;?;?;-
156;Francesco Didato;M;-;?;?;-
157;Salvatore Colatrella;M;-;?;?;-
158;Antonio Ceres;M;-;?;?;-
159;Angelo Grosso;M;-;?;?;-
160;Fabiola Dell'Angelo;F;-;?;?;-
161;Martina Del Sordo;F;-;?;?;-
162;Alessandro Russo;M;-;?;?;-
163;Angelo Della Rocca;M;-;?;?;-
164;Armando Muto;M;-;?;?;-
165;Mario Landi;M;-;?;?;-
166;Gennaro Pappalardo;M;-;?;?;-
167;Ferdinando Di Giacomo;M;-;?;?;-
168;Antonio Galasso;M;-;?;?;-
169;Luigi Viola;M;-;?;?;-
170;Alessandro Schiavone;M;-;?;?;-
171;Bruno Crucito;M;-;?;?;-
172;Antonio Vicinanza;M;-;?;?;-
173;Mario De Gregorio;M;-;?;?;-
174;Umberto Fortunato;M;-;?;?;-
175;Anna Senatore;F;-;?;?;-
176;Luigi D'Aniello;M;-;?;?;-
177;Alessandro Russomanno;M;-;?;?;-
178;Nicola D'Auria;M;-;?;?;-
179;Anna Grasso;F;-;?;?;-
180;Cinzia Oliva;F;-;?;?;-
181;Paolo Viscardi;M;-;?;?;-
182;Vincent Marino;M;-;?;?;-
183;Paolo Picariello;M;-;?;?;-
184;Vincenzo Rocchino;M;-;?;?;-
185;Gaetano Palomba;M;-;?;?;-
186;Fabio Cucciniello;M;-;?;?;-
187;Michele Fortunato;M;-;?;?;-
188;Luca Marrone;M;-;?;?;-
189;Filomena Palomba;F;-;?;?;-
